_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa076278e4,Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,0.836,0.762,-5.044,0.0598,0.0826,0.0000548,0.102,0.941,133.592
6757c5642c5d5bfa076278e5,DB Boulevard,Point Of View - Radio Edit,0.676,0.715,-6.854,0.0287,0.00284,0.0746,0.0685,0.275,129.006
6757c5642c5d5bfa076278e6,Janet Jackson,All For You,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525
6757c5642c5d5bfa076278e7,Atomic Kitten,Whole Again,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019
6757c5642c5d5bfa076278e8,Ja Rule,Livin' It Up,0.874,0.768,-4.086,0.311,0.0554,0,0.041,0.636,106.095
6757c5642c5d5bfa076278e9,Destiny's Child,"Independent Women, Pt. 1",0.73,0.602,-3.782,0.206,0.362,0.00000369,0.169,0.927,97.954
6757c5642c5d5bfa076278ea,DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,0.847,0.877,-5.424,0.0493,0.124,0,0.148,0.764,131.044
6757c5642c5d5bfa076278eb,Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,0.708,0.587,-7.93,0.151,0.273,0,0.0718,0.554,83.46
6757c5642c5d5bfa076278ec,Musiq Soulchild,Love,0.569,0.385,-9.919,0.0499,0.342,0,0.0876,0.339,99.738
6757c5642c5d5bfa076278ed,So Solid Crew,21 Seconds,0.607,0.637,-11.072,0.241,0.0191,0,0.124,0.818,137.03
6757c5642c5d5bfa076278ee,Robbie Williams,Eternity,0.469,0.316,-8.106,0.0265,0.504,0.00000604,0.0919,0.199,77.967
6757c5642c5d5bfa076278ef,Basement Jaxx,Romeo,0.713,0.829,-4.171,0.0491,0.00769,0.00203,0.139,0.844,126.853
6757c5642c5d5bfa076278f0,Ludacris,Southern Hospitality (Featuring Pharrell),0.623,0.896,-4.719,0.247,0.035,0,0.0941,0.613,95.158
6757c5642c5d5bfa076278f1,Gabrielle,Rise,0.558,0.481,-9.487,0.026,0.315,0.00000883,0.09,0.631,144.673
6757c5642c5d5bfa076278f2,Nelly,Ride Wit Me,0.85,0.7,-6.49,0.0478,0.0616,0.0000018,0.244,0.722,101.875
